benchmark,machine,rid,actual_runtime,predicted_runtime,prediction_error,total_regions,total_selected_regions,average_runtime
bt_C,summer,715,238715938793.6,-1,-1,33964,33,10231319.8
bt_C,summer,30868,238715938793.6,-1,-1,33964,33,6805155.8
bt_C,summer,30904,238715938793.6,-1,-1,33964,33,8099654.2
bt_C,summer,4450,238715938793.6,-1,-1,33964,33,9112106.0
bt_C,summer,10494,238715938793.6,-1,-1,33964,33,6722873.6
bt_C,summer,17432,238715938793.6,-1,-1,33964,33,7190617.0
bt_C,summer,27951,238715938793.6,-1,-1,33964,33,7438743.8
bt_C,summer,31960,238715938793.6,-1,-1,33964,33,6592269.0
bt_C,summer,18082,238715938793.6,-1,-1,33964,33,7435760.0
bt_C,summer,6979,238715938793.6,-1,-1,33964,33,7214974.8
bt_C,summer,10868,238715938793.6,-1,-1,33964,33,8075584.0
bt_C,summer,33344,238715938793.6,-1,-1,33964,33,6642258.4
bt_C,summer,17960,238715938793.6,-1,-1,33964,33,6794732.8
bt_C,summer,4790,238715938793.6,-1,-1,33964,33,11018039.2
bt_C,summer,2117,238715938793.6,-1,-1,33964,33,8344436.4
bt_C,summer,19024,238715938793.6,-1,-1,33964,33,8161770.0
bt_C,summer,16924,238715938793.6,-1,-1,33964,33,7405657.6
bt_C,summer,23156,238715938793.6,-1,-1,33964,33,6400069.6
bt_C,summer,19732,238715938793.6,-1,-1,33964,33,8429827.2
bt_C,summer,7205,238715938793.6,-1,-1,33964,33,6345937.2
bt_C,summer,16293,238715938793.6,-1,-1,33964,33,6860344.8
bt_C,summer,14830,238715938793.6,-1,-1,33964,33,6365424.0
bt_C,summer,29501,238715938793.6,-1,-1,33964,33,8919702.8
bt_C,summer,28896,238715938793.6,-1,-1,33964,33,7323700.2
bt_C,summer,7307,238715938793.6,-1,-1,33964,33,7683862.8
bt_C,summer,514,238715938793.6,-1,-1,33964,33,8389315.2
bt_C,summer,3415,238715938793.6,-1,-1,33964,33,7166726.8
bt_C,summer,18007,238715938793.6,-1,-1,33964,33,7116070.2
bt_C,summer,33626,238715938793.6,-1,-1,33964,33,8627918.6
bt_C,summer,4260,238715938793.6,-1,-1,33964,33,6971825.6
bt_C,summer,21736,238715938793.6,-1,-1,33964,33,7796125.4
bt_C,summer,18551,238715938793.6,-1,-1,33964,33,6659337.4
bt_C,summer,16441,238715938793.6,-1,-1,33964,33,6747075.2
bt_C,summer,-1,238715938793.6,258424063995.3212,8.255889950759151,33964,33,-1.0
bt_C,saphir,715,558939756785.6,-1,-1,33964,33,20385843.8
bt_C,saphir,30868,558939756785.6,-1,-1,33964,33,14795246.6
bt_C,saphir,30904,558939756785.6,-1,-1,33964,33,21889829.4
bt_C,saphir,4450,558939756785.6,-1,-1,33964,33,15608051.0
bt_C,saphir,10494,558939756785.6,-1,-1,33964,33,14761417.0
bt_C,saphir,17432,558939756785.6,-1,-1,33964,33,14602888.0
bt_C,saphir,27951,558939756785.6,-1,-1,33964,33,14638843.2
bt_C,saphir,31960,558939756785.6,-1,-1,33964,33,16654457.6
bt_C,saphir,18082,558939756785.6,-1,-1,33964,33,14577796.8
bt_C,saphir,6979,558939756785.6,-1,-1,33964,33,23545619.4
bt_C,saphir,10868,558939756785.6,-1,-1,33964,33,21859219.6
bt_C,saphir,33344,558939756785.6,-1,-1,33964,33,12819229.6
bt_C,saphir,17960,558939756785.6,-1,-1,33964,33,14880620.6
bt_C,saphir,4790,558939756785.6,-1,-1,33964,33,19979300.2
bt_C,saphir,2117,558939756785.6,-1,-1,33964,33,14090988.2
bt_C,saphir,19024,558939756785.6,-1,-1,33964,33,20638283.4
bt_C,saphir,16924,558939756785.6,-1,-1,33964,33,14615562.2
bt_C,saphir,23156,558939756785.6,-1,-1,33964,33,12808343.6
bt_C,saphir,19732,558939756785.6,-1,-1,33964,33,45550610.4
bt_C,saphir,7205,558939756785.6,-1,-1,33964,33,12841205.2
bt_C,saphir,16293,558939756785.6,-1,-1,33964,33,14823561.6
bt_C,saphir,14830,558939756785.6,-1,-1,33964,33,12813231.2
bt_C,saphir,29501,558939756785.6,-1,-1,33964,33,16242243.4
bt_C,saphir,28896,558939756785.6,-1,-1,33964,33,36761733.4
bt_C,saphir,7307,558939756785.6,-1,-1,33964,33,19057496.8
bt_C,saphir,514,558939756785.6,-1,-1,33964,33,25891774.8
bt_C,saphir,3415,558939756785.6,-1,-1,33964,33,22801444.8
bt_C,saphir,18007,558939756785.6,-1,-1,33964,33,17298453.8
bt_C,saphir,33626,558939756785.6,-1,-1,33964,33,21952967.4
bt_C,saphir,4260,558939756785.6,-1,-1,33964,33,20531621.6
bt_C,saphir,21736,558939756785.6,-1,-1,33964,33,21567665.2
bt_C,saphir,18551,558939756785.6,-1,-1,33964,33,12798569.0
bt_C,saphir,16441,558939756785.6,-1,-1,33964,33,14859391.4
bt_C,saphir,-1,558939756785.6,637024163043.4182,13.970093433122905,33964,33,-1.0
cg_C,summer,867,37507100803.2,-1,-1,3597,2,11512139.6
cg_C,summer,679,37507100803.2,-1,-1,3597,2,10874217.4
cg_C,summer,-1,37507100803.2,40261863064.5,7.344641953944291,3597,2,-1.0
cg_C,saphir,867,90900159819.4,-1,-1,3597,2,25831575.2
cg_C,saphir,679,90900159819.4,-1,-1,3597,2,26167043.4
cg_C,saphir,-1,90900159819.4,93519515552.09999,2.881574397563349,3597,2,-1.0
ep_C,summer,515,22269613238.2,-1,-1,635,2,34562693.4
ep_C,summer,490,22269613238.2,-1,-1,635,2,34764953.4
ep_C,summer,-1,22269613238.2,22011527859.0,-1.1589127141072038,635,2,-1.0
ep_C,saphir,515,23416253022.2,-1,-1,635,2,36080263.2
ep_C,saphir,490,23416253022.2,-1,-1,635,2,37247203.8
ep_C,saphir,-1,23416253022.2,23281470772.5,-0.5755927285728385,635,2,-1.0
ft_C,summer,614,27012700939.8,-1,-1,3199,12,25387579.2
ft_C,summer,1440,27012700939.8,-1,-1,3199,12,7020035.0
ft_C,summer,2999,27012700939.8,-1,-1,3199,12,5765864.4
ft_C,summer,2745,27012700939.8,-1,-1,3199,12,90498256.6
ft_C,summer,205,27012700939.8,-1,-1,3199,12,7877547.8
ft_C,summer,2412,27012700939.8,-1,-1,3199,12,5609513.8
ft_C,summer,2590,27012700939.8,-1,-1,3199,12,50040263.4
ft_C,summer,724,27012700939.8,-1,-1,3199,12,5812567.2
ft_C,summer,2389,27012700939.8,-1,-1,3199,12,5701230.8
ft_C,summer,7,27012700939.8,-1,-1,3199,12,19384534.0
ft_C,summer,1314,27012700939.8,-1,-1,3199,12,7300415.8
ft_C,summer,436,27012700939.8,-1,-1,3199,12,5603243.0
ft_C,summer,-1,27012700939.8,62913946845.750015,132.90505820191345,3199,12,-1.0
ft_C,saphir,614,46800899817.8,-1,-1,3199,12,43913465.2
ft_C,saphir,1440,46800899817.8,-1,-1,3199,12,13492194.8
ft_C,saphir,2999,46800899817.8,-1,-1,3199,12,11611317.6
ft_C,saphir,2745,46800899817.8,-1,-1,3199,12,93821110.2
ft_C,saphir,205,46800899817.8,-1,-1,3199,12,14341365.8
ft_C,saphir,2412,46800899817.8,-1,-1,3199,12,11791001.4
ft_C,saphir,2590,46800899817.8,-1,-1,3199,12,28975743.6
ft_C,saphir,724,46800899817.8,-1,-1,3199,12,11738569.8
ft_C,saphir,2389,46800899817.8,-1,-1,3199,12,12046314.0
ft_C,saphir,7,46800899817.8,-1,-1,3199,12,19681655.2
ft_C,saphir,1314,46800899817.8,-1,-1,3199,12,13257607.8
ft_C,saphir,436,46800899817.8,-1,-1,3199,12,11840580.6
ft_C,saphir,-1,46800899817.8,76379037689.50002,63.199934161202656,3199,12,-1.0
is_C,summer,78,3980112727.2,-1,-1,283,3,21274824.4
is_C,summer,150,3980112727.2,-1,-1,283,3,327103922.6
is_C,summer,171,3980112727.2,-1,-1,283,3,424318081.2
is_C,summer,-1,3980112727.2,72891067460.2,1731.3819847881216,283,3,-1.0
is_C,saphir,78,12119968650.8,-1,-1,283,3,25550605.6
is_C,saphir,150,12119968650.8,-1,-1,283,3,973185841.8
is_C,saphir,171,12119968650.8,-1,-1,283,3,803522482.2
is_C,saphir,-1,12119968650.8,170013092358.93332,1302.751915102613,283,3,-1.0
lu_C,summer,5531,230497056216.0,-1,-1,27163,50,12722641.6
lu_C,summer,12793,230497056216.0,-1,-1,27163,50,7008457.6
lu_C,summer,27127,230497056216.0,-1,-1,27163,50,8720775.0
lu_C,summer,8131,230497056216.0,-1,-1,27163,50,10792696.4
lu_C,summer,10750,230497056216.0,-1,-1,27163,50,8946777.0
lu_C,summer,8874,230497056216.0,-1,-1,27163,50,7958256.2
lu_C,summer,7292,230497056216.0,-1,-1,27163,50,6642138.0
lu_C,summer,10248,230497056216.0,-1,-1,27163,50,6640769.8
lu_C,summer,1541,230497056216.0,-1,-1,27163,50,6669223.4
lu_C,summer,26872,230497056216.0,-1,-1,27163,50,11584663.2
lu_C,summer,544,230497056216.0,-1,-1,27163,50,11738390.8
lu_C,summer,6194,230497056216.0,-1,-1,27163,50,9484092.8
lu_C,summer,19701,230497056216.0,-1,-1,27163,50,11142810.4
lu_C,summer,6542,230497056216.0,-1,-1,27163,50,6636975.8
lu_C,summer,537,230497056216.0,-1,-1,27163,50,6395519.6
lu_C,summer,4666,230497056216.0,-1,-1,27163,50,10405422.8
lu_C,summer,10104,230497056216.0,-1,-1,27163,50,13735570.6
lu_C,summer,21947,230497056216.0,-1,-1,27163,50,12435099.2
lu_C,summer,4791,230497056216.0,-1,-1,27163,50,6651786.6
lu_C,summer,1959,230497056216.0,-1,-1,27163,50,6684433.2
lu_C,summer,16562,230497056216.0,-1,-1,27163,50,6705721.4
lu_C,summer,19084,230497056216.0,-1,-1,27163,50,9734565.4
lu_C,summer,19443,230497056216.0,-1,-1,27163,50,11775111.2
lu_C,summer,4492,230497056216.0,-1,-1,27163,50,6816759.4
lu_C,summer,18522,230497056216.0,-1,-1,27163,50,6644157.8
lu_C,summer,21263,230497056216.0,-1,-1,27163,50,9028586.6
lu_C,summer,2788,230497056216.0,-1,-1,27163,50,7744180.4
lu_C,summer,27,230497056216.0,-1,-1,27163,50,6661762.4
lu_C,summer,12031,230497056216.0,-1,-1,27163,50,7040196.2
lu_C,summer,14983,230497056216.0,-1,-1,27163,50,12222814.8
lu_C,summer,8030,230497056216.0,-1,-1,27163,50,10256948.6
lu_C,summer,15735,230497056216.0,-1,-1,27163,50,9977076.0
lu_C,summer,10073,230497056216.0,-1,-1,27163,50,8572890.4
lu_C,summer,5342,230497056216.0,-1,-1,27163,50,6642157.6
lu_C,summer,27052,230497056216.0,-1,-1,27163,50,14946172.4
lu_C,summer,13693,230497056216.0,-1,-1,27163,50,6664436.6
lu_C,summer,25175,230497056216.0,-1,-1,27163,50,7421520.6
lu_C,summer,7161,230497056216.0,-1,-1,27163,50,9671229.0
lu_C,summer,17036,230497056216.0,-1,-1,27163,50,7051325.0
lu_C,summer,1515,230497056216.0,-1,-1,27163,50,7938275.4
lu_C,summer,5944,230497056216.0,-1,-1,27163,50,8747455.8
lu_C,summer,18080,230497056216.0,-1,-1,27163,50,6377610.8
lu_C,summer,26282,230497056216.0,-1,-1,27163,50,15957777.0
lu_C,summer,20963,230497056216.0,-1,-1,27163,50,11377002.0
lu_C,summer,9560,230497056216.0,-1,-1,27163,50,13169496.4
lu_C,summer,9660,230497056216.0,-1,-1,27163,50,7896940.0
lu_C,summer,15745,230497056216.0,-1,-1,27163,50,6217684.8
lu_C,summer,25367,230497056216.0,-1,-1,27163,50,7115076.6
lu_C,summer,26926,230497056216.0,-1,-1,27163,50,14167166.0
lu_C,summer,16731,230497056216.0,-1,-1,27163,50,13336098.0
lu_C,summer,-1,230497056216.0,250374786588.39603,8.623854334073794,27163,50,-1.0
lu_C,saphir,5531,420856128229.6,-1,-1,27163,50,23259178.0
lu_C,saphir,12793,420856128229.6,-1,-1,27163,50,17616383.8
lu_C,saphir,27127,420856128229.6,-1,-1,27163,50,15013970.6
lu_C,saphir,8131,420856128229.6,-1,-1,27163,50,21116894.2
lu_C,saphir,10750,420856128229.6,-1,-1,27163,50,19655762.2
lu_C,saphir,8874,420856128229.6,-1,-1,27163,50,20987300.4
lu_C,saphir,7292,420856128229.6,-1,-1,27163,50,13126461.4
lu_C,saphir,10248,420856128229.6,-1,-1,27163,50,13187400.2
lu_C,saphir,1541,420856128229.6,-1,-1,27163,50,13177212.6
