region,warmup_rid,start_rid,warmup_bid,warmup_count,start_bid,start_count,end_bid,end_count
0,-1,-1,47,0,47,0,12194,15
1,-1,0,47,0,12194,15,12234,12
2,0,1,12194,15,12234,12,12194,16
3,1,2,12234,23,12194,16,12234,12
4,2,3,12194,46,12234,12,12194,16
5,3,4,12234,46,12194,16,12233,4
6,4,5,12194,77,12233,4,12158,4
7,5,6,12233,24,12158,4,12234,12
8,6,7,12158,27,12234,12,12234,11
9,7,8,12234,93,12234,11,10435,4
10,8,9,12234,104,10435,4,12234,12
11,9,10,10435,4,12234,12,12194,16
12,10,11,12234,127,12194,16,12233,4
13,11,12,10435,62,12233,4,12250,11610
14,12,13,12233,51,12250,11610,12230,11872
15,13,14,12252,163635,12230,11872,12252,11931
16,14,15,12230,175872,12252,11931,12234,12
17,15,16,12252,186931,12234,12,12230,11588
18,16,17,12234,197,12230,11588,12252,11909
19,17,18,12230,210588,12252,11909,12234,12
20,18,19,12252,221909,12234,12,12230,11469
21,19,20,12234,232,12230,11469,12252,11657
22,20,21,12230,245469,12252,11657,12230,11845
23,21,22,12252,256657,12230,11845,12252,11648
24,22,23,12230,268845,12252,11648,12230,11719
25,23,24,12252,279648,12230,11719,12252,11850
26,24,25,12230,291719,12252,11850,12234,12
27,25,26,12252,302850,12234,12,12194,16
28,26,27,12234,314,12194,16,12252,11698
29,27,28,12194,434,12252,11698,12230,11961
30,28,29,12252,337698,12230,11961,12194,16
31,29,30,12230,349961,12194,16,12233,4
32,30,31,12194,481,12233,4,9749,1
33,31,32,12233,125,9749,1,11714,1563
34,32,33,5835,1,11714,1563,10678,31
35,33,34,11714,1563,10678,31,10654,391291
36,34,35,10691,51,10654,391291,11714,1718
37,35,36,10654,1988987,11714,1718,10678,31
38,36,37,11714,7754,10678,31,10263,3
39,37,38,10691,132,10263,3,10654,458716
40,38,39,10263,3,10654,458716,10691,23
41,39,40,10654,3654108,10691,23,10678,30
42,40,41,10691,181,10678,30,10654,776998
43,41,42,10691,211,10654,776998,10691,25
44,42,43,10654,5570086,10691,25,10678,30
45,43,44,10691,262,10678,30,10230,2
46,44,45,10691,292,10230,2,10654,844421
47,45,46,10230,10,10654,844421,10691,25
48,46,47,10654,7235205,10691,25,10678,31
49,47,48,10691,341,10678,31,10654,1162704
